PLAYER,POS,TEAM
Kyle Kuzma,PF,LAL
Draymond Green,PF,GSW
Tobias Harris,PF,DET
Robert Covington,PF,PHI
Thaddeus Young,PF,IND
Carmelo Anthony,PF,OKC
Aaron Gordon,PF,ORL
Taj Gibson,PF,MIN
Kevin Durant,PF,GSW
Harrison Barnes,PF,DAL
Anthony Davis,PF,NOP
Blake Griffin,PF,LAC
LeBron James,PF,CLE
Giannis Antetokounmpo,PF,MIL
Dwight Buycks,PG,DET
London Perrantes,PG,CLE
Marcus Paige,PG,CHA
Monte Morris,PG,DEN
Ryan Arcidiacono,PG,CHI
Jeremy Lin,PG,BKN
Jacob Pullen,PG,PHI
Kadeem Allen,PG,BOS
Nate Wolters,PG,UTA
Aaron Brooks,PG,MIN
Demetrius Jackson,PG,PHI
Tyler Ennis,PG,LAL
Bobby Brown,PG,HOU
Joe Young,PG,IND
Derrick White,PG,SAS
Lorenzo Brown,PG,TOR
Derrick Walton Jr.,PG,MIA
Briante Weber,PG,HOU
Josh Magette,PG,ATL
Alex Caruso,PG,LAL
Gary Payton II,PG,LAL
Kay Felder,PG,DET
Quinn Cook,PG,GSW
Shane Larkin,PG,BOS
Raul Neto,PG,UTA
Kobi Simmons,PG,MEM
Isaiah Whitehead,PG,BKN
Ramon Sessions,PG,NYK
Isaiah Taylor,PG,ATL
Shaun Livingston,PG,GSW
Tim Frazier,PG,WAS
Raymond Felton,PG,OKC
Jawun Evans,PG,LAC
Michael Carter-Williams,PG,CHA
Tyus Jones,PG,MIN
Jose Calderon,PG,CLE
Fred VanVleet,PG,TOR
Shelvin Mack,PG,ORL
Dejounte Murray,PG,SAS
Shabazz Napier,PG,POR
Devin Harris,PG,DAL
Frank Mason,PG,SAC
Matthew Dellavedova,PG,MIL
Malcolm Delaney,PG,ATL
Ish Smith,PG,DET
Tony Parker,PG,SAS
Andrew Harrison,PG,MEM
Delon Wright,PG,TOR
Emmanuel Mudiay,PG,DEN
Frank Ntilikina,PG,NYK
Mike James,PG,NOP
D.J. Augustin,PG,ORL
Jerian Grant,PG,CHI
J.J. Barea,PG,DAL
Mario Chalmers,PG,MEM
Terry Rozier,PG,BOS
Tyler Ulis,PG,PHX
Milos Teodosic,PG,LAC
T.J. McConnell,PG,PHI
Jameer Nelson,PG,NOP
Rajon Rondo,PG,NOP
Patty Mills,PG,SAS
Cory Joseph,PG,IND
De'Aaron Fox,PG,SAC
Jarrett Jack,PG,NYK
George Hill,PG,SAC
Derrick Rose,PG,CLE
Spencer Dinwiddie,PG,BKN
Reggie Jackson,PG,DET
D'Angelo Russell,PG,BKN
Jamal Murray,PG,DEN
Kris Dunn,PG,CHI
Tyler Johnson,PG,MIA
Elfrid Payton,PG,ORL
Ricky Rubio,PG,UTA
Darren Collison,PG,IND
Malcolm Brogdon,PG,MIL
Tyreke Evans,PG,MEM
Mike Conley,PG,MEM
Chris Paul,PG,HOU
Goran Dragic,PG,MIA
Eric Bledsoe,PG,MIL
Dennis Schroder,PG,ATL
Kyrie Irving,PG,BOS
Stephen Curry,PG,GSW
Kyle Lowry,PG,TOR
John Wall,PG,WAS
Lonzo Ball,PG,LAL
Jeff Teague,PG,MIN
Kemba Walker,PG,CHA
Ben Simmons,PG,PHI
Russell Westbrook,PG,OKC
Damian Lillard,PG,POR
Isaiah Canaan,PG,PHX
Mindaugas Kuzminskas,SF,NYK
Gordon Hayward,SF,BOS
Luol Deng,SF,LAL
Bruno Caboclo,SF,TOR
Malcolm Miller,SF,TOR
Kyle Collinsworth,SF,DAL
Nicolas Brussino,SF,ATL
John Holland,SF,CLE
Troy Williams,SF,HOU
Jalen Jones,SF,DAL
Kyle Singler,SF,OKC
Kawhi Leonard,SF,SAS
Alfonzo McKinnie,SF,TOR
Derrick Jones Jr.,SF,MIA
Damien Wilkins,SF,IND
Richard Jefferson,SF,DEN
Jake Layman,SF,POR
Abdel Nader,SF,BOS
Cedi Osman,SF,CLE
Quincy Pondexter,SF,CHI
Royce O'Neale,SF,UTA
Shabazz Muhammad,SF,MIN
Corey Brewer,SF,LAL
Tony Allen,SF,NOP
Justin Anderson,SF,PHI
Vince Carter,SF,SAC
Mario Hezonja,SF,ORL
Paul Zipser,SF,CHI
Omri Casspi,SF,GSW
Timothe Luwawu-Cabarrot,SF,PHI
JaKarr Sampson,SF,SAC
DeAndre' Bembry,SF,ATL
Luke Babbitt,SF,ATL
Jamil Wilson,SF,LAC
Justin Jackson,SF,SAC
Reggie Bullock,SF,DET
Torrey Craig,SF,DEN
Joe Johnson,SF,UTA
Thabo Sefolosha,SF,UTA
Darius Miller,SF,NOP
OG Anunoby,SF,TOR
Chandler Parsons,SF,MEM
Josh Jackson,SF,PHX
Maurice Harkless,SF,POR
Justise Winslow,SF,MIA
Dante Cunningham,SF,NOP
Doug McDermott,SF,NYK
Wesley Johnson,SF,LAC
Jae Crowder,SF,CLE
Andre Iguodala,SF,GSW
Evan Turner,SF,POR
Kyle Anderson,SF,SAS
Caris LeVert,SF,BKN
Michael Kidd-Gilchrist,SF,CHA
Stanley Johnson,SF,DET
Dillon Brooks,SF,MEM
Rondae Hollis-Jefferson,SF,BKN
DeMarre Carroll,SF,BKN
Joe Ingles,SF,UTA
Jayson Tatum,SF,BOS
Wilson Chandler,SF,DEN
Jaylen Brown,SF,BOS
Bojan Bogdanovic,SF,IND
Danilo Gallinari,SF,LAC
Evan Fournier,SF,ORL
Josh Richardson,SF,MIA
Wesley Matthews,SF,DAL
Brandon Ingram,SF,LAL
Trevor Ariza,SF,HOU
Andrew Wiggins,SF,MIN
Paul George,SF,OKC
Khris Middleton,SF,MIL
Naz Mitrou-Long,SG,UTA
Milton Doyle,SG,BKN
Daniel Hamilton,SG,OKC
Matt Williams Jr.,SG,MIA
Wayne Selden,SG,MEM
Jordan Crawford,SG,NOP
Jabari Bird,SG,BOS
Julyan Stone,SG,CHA
Vander Blue,SG,LAL
Markelle Fultz,SG,PHI
Darrun Hilliard,SG,SAS
Jamel Artis,SG,ORL
Charles Cooke,SG,NOP
Marcus Georges-Hunt,SG,MIN
Furkan Korkmaz,SG,PHI
Antonius Cleveland,SG,DAL
Tyler Dorsey,SG,ATL
Sterling Brown,SG,MIL
Terrance Ferguson,SG,OKC
Gian Clavell,SG,DAL
Damyean Dotson,SG,NYK
Malik Beasley,SG,DEN
Rashad Vaughn,SG,MIL
Nik Stauskas,SG,BKN
Jason Terry,SG,MIL
Sean Kilpatrick,SG,MIL
Brandon Paul,SG,SAS
Danuel House,SG,PHX
Malachi Richardson,SG,SAC
Arron Afflalo,SG,ORL
Nick Young,SG,GSW
Malik Monk,SG,CHA
Langston Galloway,SG,DET
Antonio Blakeney,SG,CHI
Ron Baker,SG,NYK
DeAndre Liggins,SG,NOP
Sindarius Thornwell,SG,LAC
Ian Clark,SG,NOP
Dwayne Bacon,SG,CHA
Patrick McCaw,SG,GSW
C.J. Williams,SG,LAC
Luke Kennard,SG,DET
Alex Abrines,SG,OKC
Jodie Meeks,SG,WAS
Treveon Graham,SG,CHA
Josh Hart,SG,LAL
Tomas Satoransky,SG,WAS
Ben McLemore,SG,MEM
Troy Daniels,SG,PHX
Jamal Crawford,SG,MIN
Pat Connaughton,SG,POR
Alec Burks,SG,UTA
Bryn Forbes,SG,SAS
Norman Powell,SG,TOR
Iman Shumpert,SG,CLE
Manu Ginobili,SG,SAS
Jordan Clarkson,SG,LAL
Lance Stephenson,SG,IND
Kyle Korver,SG,CLE
Buddy Hield,SG,SAC
Wayne Ellington,SG,MIA
David Nwaba,SG,CHI
Dwyane Wade,SG,CLE
Marco Belinelli,SG,ATL
Joe Harris,SG,BKN
Garrett Temple,SG,SAC
Bogdan Bogdanovic,SG,SAC
Terrence Ross,SG,ORL
Jerryd Bayless,SG,PHI
Andre Roberson,SG,OKC
Jeremy Lamb,SG,CHA
Danny Green,SG,SAS
Denzel Valentine,SG,CHI
Rodney Hood,SG,UTA
Kent Bazemore,SG,ATL
Allen Crabbe,SG,BKN
Jonathon Simmons,SG,ORL
Yogi Ferrell,SG,DAL
Patrick Beverley,SG,LAC
Donovan Mitchell,SG,UTA
Dion Waiters,SG,MIA
Marcus Smart,SG,BOS
Nicolas Batum,SG,CHA
Lou Williams,SG,LAC
Tony Snell,SG,MIL
Will Barton,SG,DEN
Avery Bradley,SG,DET
Eric Gordon,SG,HOU
Courtney Lee,SG,NYK
E'Twaun Moore,SG,NOP
Austin Rivers,SG,LAC
Justin Holiday,SG,CHI
Devin Booker,SG,PHX
Klay Thompson,SG,GSW
DeMar DeRozan,SG,TOR
Gary Harris,SG,DEN
Victor Oladipo,SG,IND
Kentavious Caldwell-Pope,SG,LAL
Bradley Beal,SG,WAS
James Harden,SG,HOU
Jrue Holiday,SG,NOP
Jimmy Butler,SG,MIN
Wes Iwundu,SF,ORL
Nene,C,HOU
CJ Miles,SF,TOR
Larry Nance Jr.,PF,LAL
James Ennis III,SF,MEM
Dennis Smith Jr.,PG,DAL
PJ Tucker,SF,HOU
Kelly Oubre Jr.,SF,WAS
JR Smith,SG,CLE
Otto Porter Jr.,SF,WAS
Taurean Prince,SF,ATL
TJ Warren,SF,PHX
JJ Redick,SG,PHI
Tim Hardaway Jr.,SG,NYK
CJ McCollum,SG,POR
